delivery_id,order_id,delivery_status,dispatch_date,delivery_date
73,2059,Delivered,2025-07-06,2025-07-09
74,9011,Delivered,2025-04-27,2025-05-05
75,9326,Delivered,2025-07-31,2025-08-01
76,1981,Delivered,2023-09-30,2023-10-08
77,1306,Delivered,2025-05-06,2025-05-11
78,522,Delivered,2024-08-26,2024-08-31
79,2570,Delivered,2024-05-10,2024-05-17
80,1844,In Transit,2025-08-10,
81,1289,Delivered,2025-02-08,2025-02-17
82,2406,Delivered,2025-01-06,2025-01-13
83,8316,Delivered,2024-12-17,2024-12-19
84,8154,In Transit,2024-02-21,
85,9272,Failed,2026-01-18,
86,7647,Delivered,2026-02-14,2026-02-21
87,53,Delivered,2024-08-16,2024-08-22
88,7305,Delivered,2025-08-07,2025-08-16
89,4503,Delivered,2026-02-08,2026-02-11
90,3590,Delivered,2025-09-16,2025-09-17
91,153,Delivered,2024-07-28,2024-08-05
92,32,Delivered,2026-05-30,2026-06-02
93,5972,Delivered,2025-03-15,2025-03-16
94,4297,Delivered,2024-04-20,2024-04-29
95,744,Delivered,2023-03-04,2023-03-07
96,4504,Delayed,2025-07-08,2025-07-13
97,3147,Delivered,2025-11-21,2025-11-25
98,2854,Delivered,2023-04-05,2023-04-14
99,5131,Delivered,2023-10-13,2023-10-16
100,4188,In Transit,2024-12-18,
101,930,Delivered,2026-03-01,2026-03-04
102,2159,Delivered,2024-08-25,2024-08-27
103,233,Delivered,2023-01-05,2023-01-15
104,9156,Delivered,2025-06-25,2025-07-01
105,6643,Delivered,2024-05-28,2024-06-04
106,3701,Delivered,2025-03-15,2025-03-25
107,3243,In Transit,2023-10-04,
108,1807,Delivered,2026-03-20,2026-03-28
109,1691,Delivered,2026-04-22,2026-04-23
110,2317,Delivered,2024-01-09,2024-01-15
111,5743,Delivered,2025-08-23,2025-08-24
112,2067,Delivered,2024-10-20,2024-10-22
113,6445,Delivered,2023-06-23,2023-06-24
114,977,Delivered,2026-06-10,2026-06-19
115,4874,Delivered,2025-02-04,2025-02-09
116,7230,Delivered,2023-03-12,2023-03-17
117,2697,Delivered,2024-05-19,2024-05-29
118,7497,Delivered,2023-03-15,2023-03-22
119,6615,Delivered,2024-05-16,2024-05-24
120,3420,In Transit,2024-10-08,
121,8575,Delivered,2023-03-22,2023-03-23
122,2573,Delivered,2025-03-07,2025-03-11
123,6251,Delivered,2023-04-18,2023-04-22
124,834,Delivered,2025-05-18,2025-05-22
125,1378,Delivered,2024-07-06,2024-07-12
126,6288,Delivered,2025-03-24,2025-03-28
127,5938,Delivered,2026-01-26,2026-02-03
128,3371,Delivered,2024-03-05,2024-03-15
129,9942,Delivered,2024-04-26,2024-04-27
130,2930,Delivered,2026-06-21,2026-06-30
131,5642,Delivered,2023-12-15,2023-12-23
132,7877,Delivered,2023-05-25,2023-05-30
133,6511,Delivered,2024-04-03,2024-04-13
134,6895,Delivered,2023-11-25,2023-12-03
135,6431,Delivered,2025-03-17,2025-03-26
136,7339,In Transit,2024-12-01,
137,4639,Delivered,2023-08-19,2023-08-22
138,3745,Delivered,2025-04-03,2025-04-10
139,6436,Delivered,2023-11-23,2023-12-02
140,9084,Delivered,2024-02-16,2024-02-23
141,242,In Transit,2025-04-05,
142,5570,Delayed,2024-12-26,2024-12-30
143,2299,In Transit,2025-09-30,
144,9152,Delivered,2026-06-05,2026-06-07
145,4761,Failed,2023-08-29,
146,3975,Delivered,2026-01-08,2026-01-17
147,6439,Delivered,2024-02-08,2024-02-11
148,2741,Delivered,2023-12-21,2023-12-29
149,8558,Delayed,2023-01-01,2023-01-03
150,1705,Delivered,2026-01-11,2026-01-13
151,8328,Delivered,2023-05-16,2023-05-20
152,4983,Delivered,2025-04-21,2025-05-01
153,4851,Delivered,2024-06-18,2024-06-27
154,330,Delivered,2024-12-08,2024-12-10
155,2843,Delivered,2023-05-11,2023-05-17
156,5389,Delivered,2023-03-29,2023-04-04
157,9191,Delivered,2026-05-08,2026-05-15
158,6852,Delivered,2024-07-24,2024-08-01
159,31,Delivered,2026-01-09,2026-01-11
160,1003,In Transit,2025-04-13,
161,9116,Delivered,2023-12-15,2023-12-25
162,555,Delivered,2024-10-02,2024-10-05
163,8439,Delivered,2025-09-11,2025-09-12
164,4818,Delivered,2024-03-19,2024-03-22
165,4812,Delivered,2025-03-01,2025-03-05
166,7243,Delivered,2026-01-03,2026-01-07
167,422,Delivered,2023-07-27,2023-07-31
168,7738,Delivered,2025-02-22,2025-03-04
169,3172,Delivered,2026-04-05,2026-04-11
170,2513,Delivered,2023-11-24,2023-12-04
171,8608,Delivered,2025-07-03,2025-07-11
172,4689,In Transit,2025-08-09,
173,7261,Delivered,2023-04-06,2023-04-12
174,5862,Delivered,2025-07-14,2025-07-23
175,1297,Delivered,2025-07-26,2025-07-30
176,9517,Delivered,2024-11-01,2024-11-07
177,1385,Delivered,2023-06-22,2023-06-27
178,4915,Delivered,2025-05-08,2025-05-18
179,4782,Delivered,2026-03-21,2026-03-27
180,8448,Delayed,2026-05-24,2026-05-28
181,3583,Delivered,2023-03-29,2023-04-03
182,25,Delivered,2023-11-04,2023-11-07
183,272,Delivered,2024-10-16,2024-10-26
184,3803,Delivered,2024-12-14,2024-12-22
185,4239,Delivered,2025-06-07,2025-06-12
186,9624,Delivered,2025-06-03,2025-06-09
187,1176,Delivered,2025-12-30,2025-12-31
188,9089,Failed,2024-03-05,
189,9501,Delayed,2024-08-20,2024-08-30
190,4226,Delivered,2023-03-12,2023-03-22
191,6864,Delivered,2023-04-16,2023-04-21
192,2262,Delivered,2026-02-03,2026-02-11
193,7176,Delivered,2024-12-28,2025-01-06
194,8014,Delivered,2026-01-10,2026-01-14
195,2485,Delivered,2025-02-27,2025-03-04
196,9996,Delivered,2024-01-13,2024-01-16
197,4125,Delivered,2024-11-12,2024-11-17
198,4779,Delivered,2024-06-14,2024-06-21
199,8372,In Transit,2026-02-16,
200,2212,Delivered,2023-12-18,2023-12-28
201,2772,Delivered,2024-06-15,2024-06-22
202,6810,Delivered,2025-10-05,2025-10-08
203,1166,Delivered,2026-03-24,2026-03-27
204,2887,Delivered,2026-03-13,2026-03-15
205,5712,Delivered,2023-11-03,2023-11-11
206,3488,Delivered,2024-12-07,2024-12-16
207,2158,Delivered,2023-01-05,2023-01-13
208,85,Delivered,2024-04-25,2024-05-04
209,6531,Delivered,2024-01-25,2024-02-02
210,2072,Delivered,2026-03-16,2026-03-21
211,3731,Delivered,2023-12-06,2023-12-08
212,9869,Delivered,2026-02-20,2026-02-27
213,7192,Delivered,2026-01-09,2026-01-19
214,1331,Delivered,2025-12-07,2025-12-11
215,6725,Delivered,2025-06-16,2025-06-24
216,2527,Delivered,2024-01-01,2024-01-02
217,8592,Delivered,2024-02-02,2024-02-10
218,4737,Delivered,2024-01-07,2024-01-08
219,7981,Delivered,2024-03-24,2024-04-01
220,3587,Delivered,2024-05-07,2024-05-13
221,2237,Delivered,2026-03-24,2026-03-26
222,7338,In Transit,2024-02-29,
223,6990,Delivered,2023-03-10,2023-03-14
224,5357,Delivered,2025-10-14,2025-10-19
225,7978,Delivered,2025-07-22,2025-07-30
226,8991,Delivered,2023-08-16,2023-08-21
227,9870,Delivered,2024-02-25,2024-03-01
228,5818,Delivered,2025-04-01,2025-04-08
229,1789,Delayed,2024-01-01,2024-01-09
230,2586,Delivered,2025-02-25,2025-02-27
231,5748,Delivered,2023-04-28,2023-05-01
232,7297,Delivered,2023-07-12,2023-07-14
233,7518,Delivered,2026-03-27,2026-04-03
234,6049,Delayed,2023-02-12,2023-02-21
235,409,Delivered,2023-09-20,2023-09-24
236,1350,Delivered,2026-01-24,2026-01-27
237,4745,Failed,2025-01-19,
238,3394,Delivered,2024-07-19,2024-07-25
239,3373,Delivered,2026-04-26,2026-05-06
240,2730,Delivered,2023-09-26,2023-09-28
241,7496,Delivered,2024-09-25,2024-10-05
242,70,Delivered,2025-05-24,2025-06-03
243,8244,Delivered,2024-08-30,2024-09-02
244,2723,Delayed,2023-05-09,2023-05-17
245,6719,Delivered,2024-02-25,2024-02-28
246,4499,Delayed,2023-03-16,2023-03-21
247,305,Delayed,2026-05-20,2026-05-30
248,493,Delivered,2024-05-15,2024-05-22
249,9695,Delivered,2025-05-04,2025-05-13
250,4744,Delivered,2025-01-23,2025-01-25
251,1991,In Transit,2024-03-21,
252,6018,Delivered,2023-08-24,2023-09-03
253,7549,Delivered,2024-05-18,2024-05-28
254,4166,In Transit,2023-03-26,
255,9344,Delivered,2025-06-27,2025-07-06
256,3236,Delivered,2025-05-20,2025-05-29
257,9673,Delivered,2026-01-19,2026-01-29
258,7769,Delivered,2024-02-07,2024-02-10
259,4023,Delivered,2023-07-28,2023-08-03
260,5177,Delivered,2023-01-20,2023-01-23
261,7213,Delivered,2023-04-24,2023-04-29
262,646,Delivered,2026-02-28,2026-03-03
263,9038,Delivered,2023-09-28,2023-09-30
264,935,Delayed,2026-04-16,2026-04-21
265,5737,Delivered,2023-09-04,2023-09-12
266,8567,Delivered,2025-03-05,2025-03-08
267,2948,Delivered,2023-01-04,2023-01-10
268,9682,Delivered,2024-10-21,2024-10-26
269,1474,Delivered,2026-03-09,2026-03-13
270,320,Delivered,2024-11-09,2024-11-14
271,685,Delivered,2024-11-10,2024-11-13
272,9383,Delivered,2025-08-24,2025-08-30
273,8373,Delivered,2025-01-07,2025-01-11
274,1363,Delivered,2023-12-30,2024-01-05
275,6573,Delivered,2023-10-23,2023-10-28
276,4815,Delivered,2026-04-04,2026-04-05
277,9606,Delivered,2024-08-29,2024-09-03
278,4854,Delivered,2026-06-15,2026-06-19
279,4404,Delayed,2024-02-11,2024-02-19
280,6266,Delivered,2025-03-15,2025-03-24
281,8666,Delivered,2025-09-21,2025-09-27
282,5918,Delivered,2023-02-26,2023-03-03
283,3121,Delivered,2025-04-22,2025-04-24
284,8027,Delivered,2025-07-16,2025-07-20
285,3571,Delivered,2024-02-09,2024-02-12
286,9441,Delivered,2025-05-02,2025-05-10
287,8020,Delivered,2024-02-20,2024-02-28
288,2430,Delivered,2023-04-16,2023-04-17
289,9293,Delivered,2024-08-01,2024-08-03
290,7789,Delivered,2025-01-06,2025-01-13
291,5694,In Transit,2024-08-29,
292,1648,In Transit,2025-05-15,
293,2510,In Transit,2025-08-17,
294,2863,Delivered,2025-08-14,2025-08-23
295,4548,In Transit,2025-11-06,
296,1014,Delivered,2023-03-24,2023-04-02
297,8231,Delivered,2024-12-17,2024-12-19
298,2764,Delivered,2024-10-21,2024-10-27
299,3350,In Transit,2025-04-19,
300,5275,Delivered,2024-05-18,2024-05-24
301,8571,Delivered,2023-03-19,2023-03-29
302,7123,In Transit,2023-08-11,
303,4492,Delivered,2026-05-13,2026-05-22
304,321,Delayed,2026-05-04,2026-05-13
305,2778,Delivered,2026-05-24,2026-05-31
306,4196,Delivered,2024-09-06,2024-09-11
307,7147,Delivered,2023-10-31,2023-11-05
308,3463,Delivered,2025-07-16,2025-07-20
309,454,Delivered,2024-07-28,2024-08-06
310,7842,In Transit,2024-04-15,
311,386,Delivered,2024-06-20,2024-06-25
312,4403,Delivered,2025-07-10,2025-07-15
313,9118,Delivered,2025-10-10,2025-10-20
314,3226,Delivered,2025-09-27,2025-10-04
315,8574,In Transit,2025-02-24,
316,5658,Delivered,2024-11-03,2024-11-08
317,1504,Delivered,2024-02-15,2024-02-23
318,877,Delivered,2025-04-13,2025-04-20
319,5231,Delivered,2025-02-02,2025-02-12
320,139,Delivered,2024-07-10,2024-07-18
321,6954,Delivered,2023-03-08,2023-03-13
322,2680,Delivered,2023-11-23,2023-11-29
323,8881,Delayed,2024-04-03,2024-04-13
324,2196,Delivered,2023-10-19,2023-10-22
325,6703,Delivered,2023-08-12,2023-08-22
326,6359,Delivered,2024-08-07,2024-08-17
327,5856,Delivered,2023-11-26,2023-11-29
328,6427,Delivered,2024-05-12,2024-05-22
329,6187,Failed,2026-07-01,
330,7136,Delivered,2025-08-25,2025-09-03
331,964,Delivered,2023-10-31,2023-11-06
332,9540,Delivered,2026-05-27,2026-06-06
333,4596,Delivered,2023-02-14,2023-02-15
334,9748,In Transit,2023-10-19,
335,2439,Delivered,2024-01-24,2024-01-29
336,5598,Delivered,2025-06-29,2025-07-04
337,8590,Failed,2025-04-04,
338,120,In Transit,2025-03-17,
339,9150,Delivered,2023-07-31,2023-08-04
340,2408,Delivered,2024-06-01,2024-06-05
341,4564,Delivered,2025-07-21,2025-07-25
342,3774,Delivered,2023-08-09,2023-08-19
343,5412,Failed,2024-12-30,
344,7745,Delivered,2025-12-22,2025-12-31
345,7993,Delivered,2023-08-05,2023-08-09
346,2162,Delivered,2025-08-11,2025-08-20
347,5282,Delivered,2024-11-06,2024-11-10
348,2727,Delivered,2024-05-04,2024-05-11
349,114,Delivered,2024-02-02,2024-02-07
350,3287,Delivered,2024-11-19,2024-11-21
351,311,Delivered,2025-12-29,2026-01-04
352,3117,Delivered,2025-05-25,2025-05-27
353,9287,Delivered,2024-11-19,2024-11-24
354,5924,Failed,2025-09-26,
355,6404,Delivered,2024-12-21,2024-12-26
356,7101,Delivered,2025-03-21,2025-03-24
357,8715,Delayed,2025-12-11,2025-12-17
358,7234,Delivered,2024-05-14,2024-05-23
359,891,Delayed,2024-06-24,2024-06-28
360,6772,Delivered,2024-12-03,2024-12-05
361,9668,Delivered,2024-10-23,2024-11-02
362,8243,Delivered,2025-08-21,2025-08-25
363,1228,In Transit,2024-08-29,
364,7985,Delivered,2024-05-10,2024-05-14
365,3567,Delivered,2025-04-13,2025-04-14
366,5553,In Transit,2024-02-06,
367,2346,Delivered,2024-03-21,2024-03-24
368,306,In Transit,2025-08-03,
369,1805,In Transit,2024-11-04,
370,3277,Delivered,2023-12-19,2023-12-29
371,404,Delivered,2023-11-08,2023-11-13
372,7342,Delivered,2025-04-06,2025-04-14
373,5174,Delivered,2025-01-10,2025-01-20
374,9945,Delivered,2024-05-27,2024-05-31
375,3380,Delivered,2025-08-01,2025-08-02
376,4762,Delivered,2025-09-10,2025-09-11
377,3653,Failed,2023-08-22,
378,8954,Delivered,2024-01-31,2024-02-07
379,1061,Delivered,2025-05-29,2025-06-03
380,6623,Delivered,2024-03-20,2024-03-28
381,3508,Delivered,2026-05-26,2026-06-01
382,5887,Delivered,2023-03-17,2023-03-19
383,9777,Delivered,2025-05-03,2025-05-05
384,8045,In Transit,2023-12-07,
385,3320,Delivered,2025-04-18,2025-04-28
386,9069,Failed,2026-05-22,
387,5090,Delivered,2026-01-26,2026-01-30
388,5156,Delivered,2026-05-02,2026-05-12
389,6987,In Transit,2026-05-30,
390,2714,Delayed,2023-07-12,2023-07-19
391,9816,Delayed,2023-06-03,2023-06-08
392,7179,Delivered,2025-06-20,2025-06-21
393,2082,Delivered,2025-09-06,2025-09-07
394,1941,Delivered,2023-11-01,2023-11-10
395,9107,Delivered,2025-07-15,2025-07-23
396,1087,Delivered,2023-10-08,2023-10-15
397,8804,Delivered,2026-04-11,2026-04-16
398,8897,Delivered,2026-02-24,2026-02-26
399,428,Delivered,2024-08-24,2024-08-28
400,1418,Delivered,2025-09-12,2025-09-22
401,1467,Delivered,2026-06-22,2026-06-27
402,5040,Delivered,2025-06-04,2025-06-08
403,974,Delivered,2023-12-09,2023-12-10
404,6093,Delivered,2024-04-24,2024-04-28
405,8981,Failed,2023-01-25,
406,5785,Failed,2026-01-04,
407,317,Delivered,2024-05-12,2024-05-13
408,9536,Delivered,2025-01-31,2025-02-01
409,1801,Delivered,2023-04-21,2023-04-26
410,3687,Delivered,2025-01-26,2025-01-27
411,2019,Delivered,2023-04-29,2023-05-05
412,2762,Delivered,2025-02-21,2025-02-24
413,5356,Delivered,2024-02-07,2024-02-11
414,8122,In Transit,2023-12-07,
415,4835,In Transit,2024-04-04,
416,4647,In Transit,2024-03-24,
417,3756,Delivered,2025-03-03,2025-03-09
418,2781,Delivered,2023-06-29,2023-07-06
419,230,Delivered,2025-05-22,2025-05-30
420,4479,Failed,2024-04-18,
421,4732,Delivered,2025-07-03,2025-07-05
422,7677,Delivered,2025-06-07,2025-06-12
423,4654,Delivered,2024-04-02,2024-04-04
424,1624,In Transit,2026-01-16,
425,8303,Delivered,2026-01-26,2026-01-30
426,7520,Delivered,2026-02-26,2026-03-08
427,1033,Delivered,2025-03-09,2025-03-17
428,8344,Delivered,2023-04-16,2023-04-26
429,6234,Delivered,2023-05-08,2023-05-14
430,8629,Delivered,2025-09-26,2025-10-02
431,8998,Delivered,2025-10-07,2025-10-15
432,8888,Delivered,2025-01-30,2025-02-07
433,2791,Delivered,2024-06-29,2024-07-07
434,3318,Delivered,2024-07-09,2024-07-17
435,9857,Delivered,2025-12-20,2025-12-24
436,8989,In Transit,2025-02-20,
437,8552,Delivered,2023-04-09,2023-04-15
438,8904,Delivered,2026-06-24,2026-06-29
439,6112,Delivered,2024-12-17,2024-12-26
440,2329,Delivered,2024-11-29,2024-12-06
441,8868,Delivered,2026-05-06,2026-05-13
442,4626,Delivered,2025-06-03,2025-06-05
443,6027,Delivered,2026-06-06,2026-06-08
444,4197,Delivered,2025-08-07,2025-08-14
445,2588,Delivered,2023-03-26,2023-03-27
446,1706,Delivered,2025-08-30,2025-09-03
447,2392,Delivered,2023-08-29,2023-09-08
448,3066,Delivered,2025-06-11,2025-06-14
449,1521,Delivered,2025-03-21,2025-03-25
450,1575,Delivered,2023-05-15,2023-05-17
451,8911,Delivered,2025-01-23,2025-02-02
452,5827,Delivered,2024-03-09,2024-03-12
453,2862,Delivered,2026-04-01,2026-04-06
454,1282,Delivered,2023-08-14,2023-08-18
455,6663,Delivered,2026-01-05,2026-01-14
456,4962,Delivered,2025-12-27,2026-01-04
457,2270,Delivered,2024-08-27,2024-09-01
458,4842,Delivered,2023-11-22,2023-11-23
459,8671,Delivered,2024-06-10,2024-06-20
460,8464,Delivered,2025-08-19,2025-08-20
461,724,Delivered,2023-09-20,2023-09-27
462,1962,In Transit,2024-01-08,
463,7574,Delayed,2025-10-19,2025-10-27
464,6292,Delivered,2024-01-11,2024-01-13
465,5091,Delivered,2024-02-02,2024-02-04
466,9744,Delivered,2026-01-14,2026-01-17
467,4065,Delivered,2023-04-18,2023-04-23
468,2278,Delivered,2024-09-10,2024-09-12
469,3963,Delivered,2023-02-10,2023-02-20
470,7643,Delivered,2023-01-24,2023-02-01
471,1271,Delivered,2024-08-27,2024-08-28
472,1425,Delivered,2024-10-14,2024-10-23
473,4451,Delivered,2026-06-23,2026-06-29
474,2363,Delivered,2023-03-31,2023-04-07
475,9018,Delivered,2023-10-01,2023-10-04
476,8812,In Transit,2023-09-23,
477,2120,Delivered,2024-03-27,2024-04-01
478,5030,Delivered,2026-03-26,2026-03-31
479,4461,Delivered,2024-09-29,2024-10-05
480,1478,Delivered,2025-01-14,2025-01-15
481,9543,Delivered,2023-09-07,2023-09-12
482,6120,Delivered,2026-02-08,2026-02-12
483,9312,Delivered,2024-04-20,2024-04-30
484,1588,Delivered,2023-10-16,2023-10-20
485,556,In Transit,2025-10-22,
486,6806,Delivered,2026-04-25,2026-04-29
487,9311,Delivered,2023-10-11,2023-10-17
488,9569,Delivered,2025-02-12,2025-02-17
489,5200,Delivered,2023-09-17,2023-09-25
490,6369,Delivered,2024-04-23,2024-04-28
491,1783,Delivered,2023-04-06,2023-04-16
492,6463,Delivered,2024-09-08,2024-09-18
493,8366,Delivered,2024-08-07,2024-08-13
494,7125,Delivered,2024-05-21,2024-05-27
495,9060,Delayed,2025-12-08,2025-12-18
496,4896,Delivered,2025-10-16,2025-10-23
497,2385,Delivered,2025-08-03,2025-08-05
498,3709,Delivered,2025-07-13,2025-07-20
499,2195,Delivered,2024-03-23,2024-03-28
500,1839,Delivered,2023-04-16,2023-04-23
501,8887,Delivered,2023-11-27,2023-12-06
502,9884,Delivered,2026-06-05,2026-06-13
503,6003,In Transit,2024-03-16,
504,6640,Delivered,2026-05-18,2026-05-28
505,3524,In Transit,2025-12-21,
506,2626,Delivered,2023-02-26,2023-02-27
507,4999,Delivered,2023-04-08,2023-04-13
508,9952,Delivered,2025-08-13,2025-08-18
509,8506,Delivered,2026-06-20,2026-06-30
510,7562,Delivered,2023-02-19,2023-02-22
511,5662,Delivered,2025-03-06,2025-03-16
512,8828,Delivered,2023-08-26,2023-09-04
513,6212,Delivered,2023-04-06,2023-04-13
514,8777,Delivered,2024-01-28,2024-02-05
515,7578,Delayed,2025-03-07,2025-03-17
516,6985,Delivered,2026-05-18,2026-05-27
517,5691,Delivered,2025-11-01,2025-11-09
518,4259,Delivered,2025-12-26,2025-12-27
519,8341,In Transit,2024-12-10,
520,3102,Delivered,2024-02-18,2024-02-23
521,9190,Delivered,2023-11-06,2023-11-11
522,8000,In Transit,2023-07-16,
523,6991,In Transit,2023-04-10,
524,7835,Delivered,2024-03-04,2024-03-14
525,4773,In Transit,2024-09-01,
526,1635,Delivered,2024-10-19,2024-10-27
527,9426,Delivered,2023-02-24,2023-03-02
528,7931,Delayed,2023-07-11,2023-07-14
529,5337,Delivered,2025-01-05,2025-01-12
530,1322,Delivered,2024-09-29,2024-09-30
531,2864,Delivered,2026-01-11,2026-01-15
532,2671,Failed,2024-08-22,
533,7440,Delayed,2024-06-16,2024-06-18
534,7203,Delivered,2026-01-16,2026-01-17
535,3981,Delivered,2023-06-24,2023-06-30
536,9785,Delivered,2026-04-19,2026-04-27
537,308,Delivered,2023-01-18,2023-01-27
538,5895,Delivered,2023-12-14,2023-12-15
539,7680,Delivered,2024-08-10,2024-08-15
540,9599,In Transit,2026-05-30,
541,6652,Delivered,2023-06-03,2023-06-05
542,4138,Delivered,2024-07-29,2024-08-01
543,4039,Delivered,2025-09-22,2025-09-30
544,7510,Delivered,2023-06-03,2023-06-07
545,6724,Delayed,2023-06-10,2023-06-16
546,6397,Delivered,2023-07-05,2023-07-08
547,4847,Delivered,2025-05-06,2025-05-09
548,2968,Failed,2026-02-20,
549,9486,Delivered,2024-04-16,2024-04-26
550,7119,Delivered,2023-02-06,2023-02-16
551,3180,In Transit,2023-11-16,
552,2463,Delayed,2024-08-08,2024-08-18
553,5633,Delivered,2025-05-11,2025-05-20
554,7392,Delivered,2024-04-09,2024-04-12
555,2996,Delivered,2024-05-01,2024-05-08
556,7685,Delivered,2025-07-21,2025-07-28
557,6971,Failed,2024-06-01,
558,4902,In Transit,2024-12-31,
559,2453,Delivered,2025-09-01,2025-09-06
560,6430,Delivered,2025-07-21,2025-07-26
561,3163,Delayed,2025-05-29,2025-05-31
562,7499,Delivered,2023-05-18,2023-05-22
563,2559,Delivered,2023-04-02,2023-04-10
564,4612,Delivered,2025-02-06,2025-02-09
565,5673,Delivered,2023-01-06,2023-01-11
566,2699,Delivered,2026-06-20,2026-06-25
567,3056,Delayed,2025-06-05,2025-06-06
568,9024,Delivered,2025-10-09,2025-10-18
569,5178,Delivered,2023-04-09,2023-04-13
570,1879,Delivered,2026-01-20,2026-01-25
571,2855,Delivered,2023-11-18,2023-11-22
572,2197,Delivered,2024-01-31,2024-02-06
573,9206,Delivered,2025-05-04,2025-05-10
574,3233,Delivered,2025-09-25,2025-09-29
575,241,Delivered,2025-11-05,2025-11-12
576,1933,Delivered,2024-09-11,2024-09-21
577,9205,Delivered,2023-05-18,2023-05-26
578,4502,Delivered,2025-09-26,2025-10-02
579,6341,Delayed,2026-06-03,2026-06-04
580,6671,Failed,2025-10-06,
581,7524,Delivered,2024-03-06,2024-03-08
582,8485,Delivered,2025-03-31,2025-04-09
583,6140,Delivered,2026-04-25,2026-05-04
584,4711,Delivered,2025-12-22,2025-12-25
585,3777,Delivered,2026-04-24,2026-05-02
586,3298,Delayed,2024-03-02,2024-03-05
587,9351,Delayed,2023-11-29,2023-12-05
588,9596,Delivered,2024-04-22,2024-04-27
589,5262,Delivered,2024-07-27,2024-08-05
590,5900,Delivered,2025-12-04,2025-12-06
591,1431,In Transit,2024-04-28,
592,976,Delivered,2025-12-06,2025-12-16
593,3638,Failed,2025-01-19,
594,5394,Delivered,2024-09-09,2024-09-18
595,8680,Failed,2023-01-18,
596,6763,Delivered,2024-03-19,2024-03-29
597,4721,Delivered,2026-04-03,2026-04-04
598,5107,Delivered,2024-07-09,2024-07-11
599,9827,Delivered,2025-06-04,2025-06-12
600,7672,Delivered,2026-02-07,2026-02-13
601,6216,Delivered,2026-01-06,2026-01-08
602,8849,In Transit,2024-05-04,
603,2355,Delivered,2023-07-06,2023-07-15
604,9181,Delivered,2026-03-02,2026-03-11
